# trial mode algo bits count ms expected
1 device md5 16 4096 93.181 320
1 device md5 24 20532 0.113 5133
1 device md5 32 328548 0.562 82137
1 device md5 40 5256780 7.621 1314195
1 device md5 48 84108484 152.730 21027121
1 device sha1 16 4096 0.147 320
1 device sha1 24 20532 0.117 5133
1 device sha1 32 328548 2.187 82137
1 device sha1 40 5256780 11.875 1314195
1 device sha1 48 84108484 130.528 21027121
1 device sha256 16 4096 0.161 320
1 device sha256 24 20532 0.110 5133
1 device sha256 32 328548 0.606 82137
1 device sha256 40 5256780 8.966 1314195
1 device sha256 48 84108484 137.246 21027121
2 device md5 16 4096 1.761 320
2 device md5 24 20532 0.109 5133
2 device md5 32 328548 0.546 82137
2 device md5 40 5256780 7.421 1314195
2 device md5 48 84108484 158.346 21027121
2 device sha1 16 4096 0.147 320
2 device sha1 24 20532 0.117 5133
2 device sha1 32 328548 5.294 82137
2 device sha1 40 5256780 14.005 1314195
2 device sha1 48 84108484 173.379 21027121
2 device sha256 16 4096 0.151 320
2 device sha256 24 20532 0.113 5133
2 device sha256 32 328548 3.557 82137
2 device sha256 40 5256780 8.382 1314195
2 device sha256 48 84108484 114.098 21027121
3 device md5 16 4096 2.663 320
3 device md5 24 20532 0.116 5133
3 device md5 32 328548 1.544 82137
3 device md5 40 5256780 8.091 1314195
3 device md5 48 84108484 152.666 21027121
3 device sha1 16 4096 0.148 320
3 device sha1 24 20532 0.118 5133
3 device sha1 32 328548 2.187 82137
3 device sha1 40 5256780 50.228 1314195
3 device sha1 48 84108484 127.966 21027121
3 device sha256 16 4096 0.148 320
3 device sha256 24 20532 0.113 5133
3 device sha256 32 328548 11.324 82137
3 device sha256 40 5256780 7.199 1314195
3 device sha256 48 84108484 110.033 21027121
4 device md5 16 4096 1.894 320
4 device md5 24 20532 0.109 5133
4 device md5 32 328548 0.623 82137
4 device md5 40 5256780 43.732 1314195
4 device md5 48 84108484 154.156 21027121
4 device sha1 16 4096 0.146 320
4 device sha1 24 20532 0.118 5133
4 device sha1 32 328548 2.190 82137
4 device sha1 40 5256780 50.364 1314195
4 device sha1 48 84108484 147.276 21027121
4 device sha256 16 4096 0.149 320
4 device sha256 24 20532 0.112 5133
4 device sha256 32 328548 42.732 82137
4 device sha256 40 5256780 25.097 1314195
4 device sha256 48 84108484 113.571 21027121
5 device md5 16 4096 1.857 320
5 device md5 24 20532 0.109 5133
5 device md5 32 328548 0.542 82137
5 device md5 40 5256780 8.861 1314195
5 device md5 48 84108484 137.932 21027121
5 device sha1 16 4096 0.146 320
5 device sha1 24 20532 0.116 5133
5 device sha1 32 328548 6.178 82137
5 device sha1 40 5256780 12.419 1314195
5 device sha1 48 84108484 127.714 21027121
5 device sha256 16 4096 0.147 320
5 device sha256 24 20532 0.111 5133
5 device sha256 32 328548 2.182 82137
5 device sha256 40 5256780 9.763 1314195
5 device sha256 48 84108484 122.575 21027121
6 device md5 16 4096 19.072 320
6 device md5 24 20532 0.108 5133
6 device md5 32 328548 0.673 82137
6 device md5 40 5256780 8.973 1314195
6 device md5 48 84108484 149.986 21027121
6 device sha1 16 4096 0.146 320
6 device sha1 24 20532 0.118 5133
6 device sha1 32 328548 42.210 82137
6 device sha1 40 5256780 25.570 1314195
6 device sha1 48 84108484 135.140 21027121
6 device sha256 16 4096 0.154 320
6 device sha256 24 20532 0.113 5133
6 device sha256 32 328548 2.319 82137
6 device sha256 40 5256780 8.417 1314195
6 device sha256 48 84108484 153.137 21027121
7 device md5 16 4096 17.179 320
7 device md5 24 20532 0.108 5133
7 device md5 32 328548 0.644 82137
7 device md5 40 5256780 8.457 1314195
7 device md5 48 84108484 130.845 21027121
7 device sha1 16 4096 0.147 320
7 device sha1 24 20532 0.117 5133
7 device sha1 32 328548 2.187 82137
7 device sha1 40 5256780 49.600 1314195
7 device sha1 48 84108484 129.178 21027121
7 device sha256 16 4096 0.148 320
7 device sha256 24 20532 0.111 5133
7 device sha256 32 328548 8.738 82137
7 device sha256 40 5256780 7.167 1314195
7 device sha256 48 84108484 109.571 21027121
8 device md5 16 4096 18.898 320
8 device md5 24 20532 0.108 5133
8 device md5 32 328548 0.636 82137
8 device md5 40 5256780 8.997 1314195
8 device md5 48 84108484 141.784 21027121
8 device sha1 16 4096 0.146 320
8 device sha1 24 20532 0.117 5133
8 device sha1 32 328548 2.187 82137
8 device sha1 40 5256780 50.175 1314195
8 device sha1 48 84108484 164.313 21027121
8 device sha256 16 4096 0.147 320
8 device sha256 24 20532 0.111 5133
8 device sha256 32 328548 42.582 82137
8 device sha256 40 5256780 26.136 1314195
8 device sha256 48 84108484 112.829 21027121
9 device md5 16 4096 2.830 320
9 device md5 24 20532 0.109 5133
9 device md5 32 328548 4.478 82137
9 device md5 40 5256780 14.635 1314195
9 device md5 48 84108484 116.491 21027121
9 device sha1 16 4096 0.146 320
9 device sha1 24 20532 0.117 5133
9 device sha1 32 328548 2.190 82137
9 device sha1 40 5256780 11.862 1314195
9 device sha1 48 84108484 151.936 21027121
9 device sha256 16 4096 0.147 320
9 device sha256 24 20532 0.110 5133
9 device sha256 32 328548 2.191 82137
9 device sha256 40 5256780 9.768 1314195
9 device sha256 48 84108484 135.141 21027121
10 device md5 16 4096 6.364 320
10 device md5 24 20532 0.108 5133
10 device md5 32 328548 0.543 82137
10 device md5 40 5256780 7.494 1314195
10 device md5 48 84108484 155.184 21027121
10 device sha1 16 4096 0.149 320
10 device sha1 24 20532 0.117 5133
10 device sha1 32 328548 5.458 82137
10 device sha1 40 5256780 13.998 1314195
10 device sha1 48 84108484 129.566 21027121
10 device sha256 16 4096 0.150 320
10 device sha256 24 20532 0.131 5133
10 device sha256 32 328548 1.424 82137
10 device sha256 40 5256780 7.917 1314195
10 device sha256 48 84108484 133.722 21027121
