# trial mode algo bits count ms expected
1 unified md5 16 4096 6.378 320
1 unified md5 24 20532 0.643 5133
1 unified md5 32 328548 18.039 82137
1 unified md5 40 5256780 19.519 1314195
1 unified md5 48 84108484 242.813 21027121
1 unified md5 52 168216974 488.833 84108487
1 unified md5 56 2018603706 3321.050 336433951
2 unified md5 16 4096 5.028 320
2 unified md5 24 20532 2.088 5133
2 unified md5 32 328548 2.338 82137
2 unified md5 40 5256780 16.419 1314195
2 unified md5 48 84108484 262.112 21027121
2 unified md5 52 168216974 494.936 84108487
2 unified md5 56 2018603706 3292.562 336433951
3 unified md5 16 4096 2.240 320
3 unified md5 24 20532 0.498 5133
3 unified md5 32 328548 1.294 82137
3 unified md5 40 5256780 18.388 1314195
3 unified md5 48 84108484 245.406 21027121
3 unified md5 52 168216974 500.849 84108487
3 unified md5 56 2018603706 3364.124 336433951
4 unified md5 16 4096 7.706 320
4 unified md5 24 20532 1.047 5133
4 unified md5 32 328548 2.665 82137
4 unified md5 40 5256780 16.343 1314195
4 unified md5 48 84108484 241.059 21027121
4 unified md5 52 168216974 526.485 84108487
4 unified md5 56 2018603706 3364.316 336433951
5 unified md5 16 4096 6.826 320
5 unified md5 24 20532 3.095 5133
5 unified md5 32 328548 4.756 82137
5 unified md5 40 5256780 17.389 1314195
5 unified md5 48 84108484 245.799 21027121
5 unified md5 52 168216974 484.156 84108487
5 unified md5 56 2018603706 3343.987 336433951
6 unified md5 16 4096 2.668 320
6 unified md5 24 20532 0.519 5133
6 unified md5 32 328548 1.373 82137
6 unified md5 40 5256780 55.239 1314195
6 unified md5 48 84108484 252.379 21027121
6 unified md5 52 168216974 494.401 84108487
6 unified md5 56 2018603706 3348.366 336433951
7 unified md5 16 4096 10.957 320
7 unified md5 24 20532 0.484 5133
7 unified md5 32 328548 1.282 82137
7 unified md5 40 5256780 16.569 1314195
7 unified md5 48 84108484 254.386 21027121
7 unified md5 52 168216974 494.336 84108487
7 unified md5 56 2018603706 3372.345 336433951
8 unified md5 16 4096 11.249 320
8 unified md5 24 20532 36.933 5133
8 unified md5 32 328548 1.346 82137
8 unified md5 40 5256780 16.384 1314195
8 unified md5 48 84108484 243.594 21027121
8 unified md5 52 168216974 485.130 84108487
8 unified md5 56 2018603706 3446.821 336433951
9 unified md5 16 4096 3.651 320
9 unified md5 24 20532 1.639 5133
9 unified md5 32 328548 44.370 82137
9 unified md5 40 5256780 26.234 1314195
9 unified md5 48 84108484 266.152 21027121
9 unified md5 52 168216974 500.414 84108487
9 unified md5 56 2018603706 3343.073 336433951
10 unified md5 16 4096 2.266 320
10 unified md5 24 20532 0.474 5133
10 unified md5 32 328548 1.282 82137
10 unified md5 40 5256780 19.842 1314195
10 unified md5 48 84108484 245.709 21027121
10 unified md5 52 168216974 490.703 84108487
10 unified md5 56 2018603706 3327.608 336433951
